"code","id","instrument","Date","satellite_id","strip_id","quality_category","clear_confidence_percent","clear_percent","sun_elevation","sun_azimuth","view_angle"
"DAE","20190109_150058_0f53","PS2",2019-01-09,"0f53","2010891","standard",96,96,24.5,144.6,1.4
"LAB","20181012_152614_0e16","PS2",2018-10-12,"0e16","1763025","standard",100,100,41.7,148.4,0.1
"LAB","20181013_151238_0f4a","PS2",2018-10-13,"0f4a","1765531","standard",98,98,40,144.9,0.2
"LAB","20181013_151239_0f4a","PS2",2018-10-13,"0f4a","1765531","standard",99,99,40,144.9,0.1
"LAB","20181018_152543_0e20","PS2",2018-10-18,"0e20","1776703","standard",99,99,39.8,149.8,0.1
"LAB","20181021_152847_1014","PS2",2018-10-21,"1014","1781696","standard",100,100,39.2,151.5,0.2
"LAB","20181022_152725_1001","PS2",2018-10-22,"1001","1784029","standard",99,99,38.9,151.6,2.1
"LAB","20181024_151151_104a","PS2",2018-10-24,"104a","1789869","standard",98,98,36.5,147.3,0.1
"LAB","20181024_153008_0f34","PS2",2018-10-24,"0f34","1789276","standard",99,99,38.4,152.4,0.5
"LAB","20181030_150957_0f2d","PS2",2018-10-30,"0f2d","1805706","standard",99,99,34.7,148.3,0.1
"LAB","20181030_152841_100c","PS2",2018-10-30,"100c","1805222","standard",99,99,36.4,153.3,0.2
"LAB","20181030_152842_100c","PS2",2018-10-30,"100c","1805222","standard",100,100,36.5,153.2,0.2
"LAB","20181103_151035_0f33","PS2",2018-11-03,"0f33","1815686","standard",98,98,33.5,148.9,0.1
"LAB","20181103_152547_0e0f","PS2",2018-11-03,"0e0f","1814856","standard",98,98,35.1,153.2,0.1
"LAB","20181104_150911_104a","PS2",2018-11-04,"104a","1818323","standard",98,98,33.1,149,0.1
"LAB","20181106_152859_103b","PS2",2018-11-06,"103b","1824194","standard",78,78,34.5,154.4,0.1
"LAB","20181107_152938_1008","PS2",2018-11-07,"1008","1826486","standard",99,99,34.3,154.6,0
"LAB","20181110_152912_103c","PS2",2018-11-10,"103c","1835123","standard",97,97,33.4,154.9,0.1
"LAB","20181110_152913_103c","PS2",2018-11-10,"103c","1835123","standard",98,98,33.4,154.9,0.1
"LAB","20181111_152853_1014","PS2",2018-11-11,"1014","1838087","standard",99,99,33.1,154.9,0.1
"LAB","20181116_152912_101f","PS2",2018-11-16,"101f","1852518","standard",79,79,31.8,155.3,0.1
"LAB","20181117_150826_0f46","PS2",2018-11-17,"0f46","1855508","standard",97,97,29.7,150,0.2
"LAB","20181117_153004_100a","PS2",2018-11-17,"100a","1855615","standard",99,99,31.6,155.5,0.2
"LAB","20181118_150720_1052","PS2",2018-11-18,"1052","1858776","standard",56,56,29.3,150,0.1
"LAB","20181118_153127_0f52","PS2",2018-11-18,"0f52","1858134","standard",50,50,31.4,155.7,2.3
"LAB","20181121_152947_1039","PS2",2018-11-21,"1039","1866632","standard",100,100,30.7,155.6,0.1
"LAB","20181121_152948_1039","PS2",2018-11-21,"1039","1866632","standard",100,100,30.7,155.6,0.1
"LAB","20181122_153007_1013","PS2",2018-11-22,"1013","1869285","standard",99,99,30.5,155.7,0.6
"LAB","20181125_152855_1024","PS2",2018-11-25,"1024","1877528","standard",64,64,29.8,155.5,0.3
"LAB","20181127_152810_103b","PS2",2018-11-27,"103b","1882683","standard",74,74,29.5,155.7,5
"LAB","20181201_152812_103c","PS2",2018-12-01,"103c","1893630","standard",93,93,28.8,155.7,4
"LAB","20181203_150516_1054","PS2",2018-12-03,"1054","1900432","standard",77,77,26.1,149.8,0
"LAB","20181203_152938_102c","PS2",2018-12-03,"102c","1901646","standard",96,96,28.3,155.5,0
"LAB","20181204_153059_1042","PS2",2018-12-04,"1042","1902636","standard",99,99,28.2,155.7,2.2
"LAB","20181204_153100_1042","PS2",2018-12-04,"1042","1902636","standard",99,99,28.3,155.6,2.2
"LAB","20181207_150505_1050","PS2",2018-12-07,"1050","1912034","standard",87,87,25.5,149.5,0
"LAB","20181207_150506_1050","PS2",2018-12-07,"1050","1912034","standard",90,90,25.4,149.5,0
"LAB","20181211_150416_0f44","PS2",2018-12-11,"0f44","1923741","standard",95,95,24.9,149.2,0.1
"LAB","20181211_150417_0f44","PS2",2018-12-11,"0f44","1923741","standard",95,95,24.8,149.2,0.1
"LAB","20181211_153015_0f35","PS2",2018-12-11,"0f35","1923220","standard",96,96,27.3,155.1,0.1
"LAB","20181216_152235_0e19","PS2",2018-12-16,"0e19","1939524","standard",94,94,26.3,153.5,4.9
"LAB","20181217_153134_1006","PS2",2018-12-17,"1006","1940871","standard",99,99,26.7,154.7,1.6
"LAB","20181217_153135_1006","PS2",2018-12-17,"1006","1940871","standard",98,98,26.7,154.7,1.6
"LAB","20181218_153103_0f28","PS2",2018-12-18,"0f28","1944142","standard",93,93,26.7,154.8,0.1
"LAB","20181223_150219_104b","PS2",2018-12-23,"104b","1958443","standard",96,96,23.7,147.6,0
"LAB","20181223_153045_1008","PS2",2018-12-23,"1008","1957872","standard",100,100,26.5,154.1,0.1
"LAB","20181224_152644_0e20","PS2",2018-12-24,"0e20","1961255","standard",99,99,26,152.9,0.2
"LAB","20181225_153023_1038","PS2",2018-12-25,"1038","1964039","standard",97,97,26.5,153.8,0.2
"LAB","20181226_153004_103c","PS2",2018-12-26,"103c","1967062","standard",98,98,26.4,153.7,0.6
"LAB","20181227_153020_1035","PS2",2018-12-27,"1035","1970268","standard",70,70,26.4,153.5,0.1
"LAB","20181229_150148_0f2d","PS2",2018-12-29,"0f2d","1976701","standard",84,84,23.4,146.7,0.2
"LAB","20181229_153044_1011","PS2",2018-12-29,"1011","1976372","standard",96,96,26.4,153.3,0
"LAB","20190109_153055_1009","PS2",2019-01-09,"1009","2009142","standard",99,99,27,151.6,0.2
"LAB","20190111_153047_1040","PS2",2019-01-11,"1040","2014764","standard",100,100,27.2,151.4,0.1
"LAB","20190111_153230_1006","PS2",2019-01-11,"1006","2014767","standard",99,99,27.1,151.4,2.3
"LAB","20190118_145903_0f44","PS2",2019-01-18,"0f44","2035281","standard",94,94,24.5,142.8,0.1
"LAB","20190118_145904_0f44","PS2",2019-01-18,"0f44","2035281","standard",96,96,24.4,142.8,0.1
"LAB","20190121_153029_1035","PS2",2019-01-21,"1035","2044556","standard",99,99,28.6,149.6,1.3
"LAB","20190122_153154_100e","PS2",2019-01-22,"100e","2047432","standard",99,99,28.7,149.5,0
"LAB","20190125_145804_1053","PS2",2019-01-25,"1053","2057060","standard",98,98,25.4,141.2,0
"LAB","20190125_153109_0f15","PS2",2019-01-25,"0f15","2057387","standard",98,98,29.4,149.1,3.9
"LAB","20190126_152946_1029","PS2",2019-01-26,"1029","2060801","standard",99,99,29.5,148.6,2
"LAB","20190127_145848_1049","PS2",2019-01-27,"1049","2063480","standard",90,90,25.8,140.7,4
"LAB","20190205_145526_0f4b","PS2",2019-02-05,"0f4b","2092764","standard",96,96,27.5,138.5,0.1
"LAB","20190205_153201_1013","PS2",2019-02-05,"1013","2090934","standard",99,99,31.9,147.1,1
"LAB","20190205_153202_1013","PS2",2019-02-05,"1013","2090934","standard",98,98,31.9,147,1
"LAB","20190208_145321_100d","PS2",2019-02-08,"100d","2100043","standard",92,92,28.1,137.8,5.1
"LAB","20190208_153030_1024","PS2",2019-02-08,"1024","2100223","standard",97,97,32.7,146.3,1
"LAB","20190213_153248_1034","PS2",2019-02-13,"1034","2115087","standard",99,99,34.2,145.7,3
"LAB","20190213_153249_1034","PS2",2019-02-13,"1034","2115087","standard",98,98,34.2,145.6,3
"LAB","20190214_145255_0f3c","PS2",2019-02-14,"0f3c","2119539","standard",96,96,29.7,136.5,5
"LAB","20190225_153108_0f4e","PS2",2019-02-25,"0f4e","2151219","standard",98,98,38.1,143.7,4.3
"LAB","20190226_145128_104a","PS2",2019-02-26,"104a","2153529","standard",93,93,33.1,133.2,5
"LAB","20190226_153116_0f25","PS2",2019-02-26,"0f25","2153928","standard",98,98,38.5,143.5,5
"LAB","20190228_153147_1021","PS2",2019-02-28,"1021","2160653","standard",83,83,39.1,142.8,0
"LAB","20190306_153406_1006","PS2",2019-03-06,"1006","2180676","standard",99,99,41.3,141.8,5
"LAB","20190307_145249_1043","PS2",2019-03-07,"1043","2183555","standard",97,97,35.9,130.7,4.9
"LAB","20190312_145027_0f4b","PS2",2019-03-12,"0f4b","2197263","standard",96,96,37.5,129.4,0.1
"LAB","20190312_145027_1_0f4b","PS2",2019-03-12,"0f4b","2197263","standard",94,94,37.5,129.4,0.1
"LAB","20190312_153212_1032","PS2",2019-03-12,"1032","2198928","standard",68,68,43.5,140.5,0.9
"LAB","20190314_153017_1042","PS2",2019-03-14,"1042","2203290","standard",100,100,44.4,140.1,7.5
"LAB","20190318_145154_0f36","PS2",2019-03-18,"0f36","2213494","standard",97,97,39.5,127.8,3
"LAB","20190319_153345_103c","PS2",2019-03-19,"103c","2216730","standard",97,97,46.1,139.2,3
"LAB","20190323_145045_101c","PS2",2019-03-23,"101c","2227146","standard",99,99,41.1,126.1,5
"LAB","20190323_145046_101c","PS2",2019-03-23,"101c","2227146","standard",99,99,41,126.1,4.9
"LAB","20190323_153335_0f34","PS2",2019-03-23,"0f34","2227882","standard",100,100,47.7,138.6,0.3
"LAB","20190324_153321_0f15","PS2",2019-03-24,"0f15","2229776","standard",95,95,48.1,138.3,1.1
"STA","20181116_151739_0f32","PS2",2018-11-16,"0f32","1853023","standard",99,99,30.1,150,0.1
"STA","20181116_153436_0e20","PS2",2018-11-16,"0e20","1852532","standard",87,87,31.7,154.3,0
"STA","20181117_151653_104e","PS2",2018-11-17,"104e","1855998","standard",100,100,29.8,150,0.2
"STA","20181117_153904_1038","PS2",2018-11-17,"1038","1855383","standard",99,99,31.8,155.4,0
"STA","20181119_151615_0f3b","PS2",2018-11-19,"0f3b","1861663","standard",94,94,29.3,150,0
"STA","20181119_153836_1035","PS2",2018-11-19,"1035","1861015","standard",99,99,31.3,155.4,0
"STA","20181119_153837_1035","PS2",2018-11-19,"1035","1861015","standard",99,99,31.3,155.4,0.1
"STA","20181120_153714_100e","PS2",2018-11-20,"100e","1863855","standard",90,90,31.2,155.5,3.6
"STA","20181121_153905_1011","PS2",2018-11-21,"1011","1866656","standard",99,99,30.9,155.6,0
"STA","20181122_151739_0f4a","PS2",2018-11-22,"0f4a","1869771","standard",99,99,28.6,150.1,2.3
"STA","20181122_153859_0f34","PS2",2018-11-22,"0f34","1869303","standard",99,99,30.7,155.8,0.6
"STA","20181123_153935_0f15","PS2",2018-11-23,"0f15","1871848","standard",96,96,30.5,155.8,0
"STA","20181123_153936_0f15","PS2",2018-11-23,"0f15","1871848","standard",0,0,30.5,155.8,0
"STA","20181204_153833_102e","PS2",2018-12-04,"102e","1902662","standard",98,98,28.5,155.5,0.1
"STA","20181206_151414_104d","PS2",2018-12-06,"104d","1909043","standard",85,85,25.8,149.6,0.1
