"code","count","date.min","date.max","product.count","date.range","cover_planting","cc_termination_date","date.range.fields","treatment","type","year","cc_harvest_date","cc_species","date.range.diff","planting.min.diff","plant.max.diff","term.max.diff","Flagged"
"AHW",68,2022-10-10,2023-04-02,1,174,2022-10-10,2023-03-29,170,"C","corner",2023,2023-03-29,"Cereal Rye",4,0,0,-4,"1"
"AYR",48,2021-10-26,2022-04-10,2,166,2021-11-05,2022-03-22,137,"C","corner",2022,2022-03-22,"Cereal Rye-Oats/Black Oats",29,10,-10,-19,"0"
"BAR",93,2021-09-16,2022-05-28,2,254,2021-09-26,2022-05-21,237,"C","corner",2022,2022-05-17,"Cereal Rye",17,10,-10,-7,"1"
"BGP",75,2020-12-29,2021-06-16,2,169,2021-01-08,2021-06-01,144,"C","corner",2021,2021-05-28,"Cereal Rye",25,10,-10,-15,"0"
"BIG",56,2021-10-13,2022-03-14,2,152,2021-10-20,2022-03-04,135,"C","corner",2022,2022-03-15,"Crimson Clover-Oats/Black Oats",17,7,-7,-10,"0"
"BII",56,2020-09-04,2021-06-11,2,280,2020-09-11,2021-05-22,253,"C","corner",2021,2021-05-15,"Cereal Rye-Other Clover spp",27,7,-7,-20,"0"
"BRQ",90,2022-10-02,2023-05-05,1,215,2022-10-12,2023-04-19,189,"C","corner",2023,2023-04-19,"Cereal Rye-Other Clover spp",26,10,-10,-16,"0"
"BRW",71,2021-10-16,2022-06-05,2,232,2021-10-23,2022-05-19,208,"C","corner",2022,2022-05-19,"Cereal Rye",24,7,-7,-17,"0"
"BXQ",49,2020-11-05,2021-04-05,2,151,2020-11-15,2021-03-27,132,"C","corner",2021,2021-04-01,"Cereal Rye-Oats/Black Oats",19,10,-10,-9,"1"
"BZW",88,2020-10-14,2021-05-27,2,225,2020-10-24,2021-05-12,200,"C","corner",2021,2021-05-12,"Wheat",25,10,-10,-15,"0"
"CFZ",77,2021-10-14,2022-06-10,2,239,2021-10-20,2022-05-26,218,"C","corner",2022,2022-05-25,"Cereal Rye-Hairy Vetch",21,6,-6,-15,"0"
"COE",55,2021-10-31,2022-05-25,2,206,2021-11-10,2022-05-23,194,"C","corner",2022,2022-05-18,"Cereal Rye",12,10,-10,-2,"1"
"CRK",81,2021-10-31,2022-05-12,2,193,2021-11-08,2022-05-10,183,"C","corner",2022,2022-05-06,"Wheat",10,8,-8,-2,"1"
"CUU",42,2021-10-22,2022-05-05,2,195,2021-10-17,2022-04-19,184,"C","corner",2022,2022-04-13,"Barley",11,-5,5,-16,"0"
"CWZ",143,2022-09-09,2023-06-05,1,269,2022-09-17,2023-05-23,248,"C","corner",2023,2023-05-21,"Crimson Clover",21,8,-8,-13,"0"
"DAA",78,2018-08-23,2019-04-04,1,224,2018-09-01,2019-03-28,208,"C","corner",2019,2019-04-03,"-999",16,9,-9,-7,"1"
"DAB",68,2018-10-05,2019-05-09,1,216,2018-10-10,2019-04-23,195,"C","corner",2019,2019-04-17,"Cereal Rye-Radish/Turnip-Unknown Clover spp-Unknown Vetch spp",21,5,-5,-16,"0"
"DAC",68,2018-10-05,2019-05-09,1,216,2018-10-10,2019-04-23,195,"C","corner",2019,2019-04-17,"Cereal Rye-Radish/Turnip-Unknown Clover spp-Unknown Vetch spp",21,5,-5,-16,"0"
"DAD",57,2018-10-30,2019-04-22,1,174,2018-11-07,2019-04-12,156,"C","corner",2019,2019-04-17,"Cereal Rye-Oats",18,8,-8,-10,"0"
"DAE",65,2018-10-30,2019-05-01,1,183,2018-11-08,2019-04-12,155,"C","corner",2019,2019-04-17,"Cereal Rye-Oats",28,9,-9,-19,"0"
"DBS",72,2021-11-26,2022-05-18,2,173,2021-12-06,2022-05-04,149,"C","corner",2022,2022-05-03,"Cereal Rye-Other Brassica spp-Radish/Turnip-Triticale",24,10,-10,-14,"0"
"DCN",77,2021-10-30,2022-04-30,2,182,2021-11-08,2022-04-12,155,"C","corner",2022,2022-04-11,"Wheat",27,9,-9,-18,"0"
"DET",43,2021-10-06,2022-05-29,2,235,2021-09-29,2022-05-14,227,"C","corner",2022,2022-04-26,"Cereal Rye",8,-7,7,-15,"1"
"DFV",78,2021-10-22,2022-05-14,2,204,2021-10-21,2022-05-10,201,"C","corner",2022,2022-05-09,"Cereal Rye-Crimson Clover",3,-1,1,-4,"1"
"DGF",74,2022-01-05,2022-06-10,2,156,2022-01-15,2022-05-26,131,"C","corner",2022,2022-05-23,"Cereal Rye",25,10,-10,-15,"0"
"DKP",116,2022-09-24,2023-06-03,1,252,2022-10-01,2023-05-17,228,"C","corner",2023,2023-05-09,"Cereal Rye",24,7,-7,-17,"0"
